,LOAD_HIT_PRE:SW_PF,RESOURCE_STALLS:ANY,RESOURCE_STALLS:ROB,RESOURCE_STALLS:RS,RESOURCE_STALLS:SB,RS_EVENTS:EMPTY_CYCLES,RS_EVENTS:EMPTY_END,UOPS_DISPATCHED:PORT_0,UOPS_DISPATCHED:PORT_1,UOPS_DISPATCHED:PORT_2,UOPS_DISPATCHED:PORT_3,UOPS_DISPATCHED:PORT_4,UOPS_DISPATCHED:PORT_5,UOPS_DISPATCHED:PORT_6,UOPS_DISPATCHED:PORT_7
ExaMiniMD,0.0,0.27770809390145273,0.06102392612199089,0.07048401695092503,0.0019886373849071627,0.002921471162702586,0.00025590499497444295,0.3805329459019055,0.46754327486947,0.5293092199169409,0.533165149073634,0.270086420330496,0.3827441520329645,0.3768000059621589,0.15100165248056455
LAMMPS,3.694547764708456e-11,0.28625474955165864,0.004855058890224327,0.1064310247706734,0.001291118274737037,0.0046913359127066755,0.0004066842590595217,0.4602087656828824,0.4109527200079839,0.569563490137709,0.5741638369336083,0.2857130993719223,0.376291814169668,0.3258348516672241,0.1631019448927356
sw4lite,1.5130747460043755e-10,0.2778305421742169,0.006373091387134636,0.03942142395127042,0.032346052186246935,0.03221411546889598,0.0011677885892342002,0.5559548230628764,0.5656977894639721,0.4982913817430436,0.5047406270280659,0.2738387380879739,0.07398023357580928,0.09063832567570368,0.1854481718965113
sw4,4.073036849424056e-11,0.27756576706081393,0.005862242013099759,0.032306311912580314,0.06138686676169956,0.0444926650656214,0.0015074468333959147,0.5091818394200629,0.5182403888530323,0.4974358834920433,0.5035960291287679,0.3263718619178652,0.04995546665595362,0.08572011280306814,0.21817977014725826
SWFFT,0.0001518865308672884,0.33764533843828104,0.00023320010147943795,0.018273806411262174,0.05974697759744614,0.1380059862441295,0.005070611030504611,0.16462837656879864,0.20058614761598814,0.20858091403059134,0.2028181609891011,0.15657328704291626,0.1944728207505056,0.3490395013936033,0.0821287795336132
HACC,3.381197439759881e-05,0.2908252106519783,0.014966206591271824,0.05175060242520322,0.07188522344437667,0.08763662255020684,0.0048800816409937005,0.3438872934357087,0.1895451785557149,0.3194819700433933,0.32528719946767115,0.2255232671961896,0.3463290836670966,0.31792743728819195,0.12893799172290946
MiniQMC,2.786820403291775e-05,0.8564013726744454,0.0014785487638436048,0.0930294949453646,0.055901445838498535,0.0364232850882298,0.0008523118845324455,0.13444371797519036,0.021541127664552545,0.04700992977788007,0.047833203942135236,0.029530940439226726,0.12562104183901684,0.0241720156706073,0.005928459715672282
QMCPack,3.318875326155232e-05,0.8391649871122038,0.0012511962416838726,0.23834347740144185,0.02556877326485251,0.02598487467569356,0.0012698166608890286,0.14889314084293528,0.025856849989545527,0.08454401750436112,0.08488200468568029,0.048313626871461963,0.1484441417889622,0.05113828236383764,0.014858021655957619
miniVite,4.6133438501047534e-09,0.4838965287388259,0.045728436533339516,0.10886357764955612,0.0036494634367127826,0.04244497780408707,0.005619221784670721,0.12283844698540745,0.12923676033713494,0.2075262053933484,0.21055567494838914,0.16898410629503824,0.11731929473252575,0.2765010889235061,0.1108936026997306
vite,2.873668336283926e-13,0.272708701198433,0.0012251977349854173,0.04189779369052661,7.331601902013795e-05,0.015130659705698712,0.0017066474118680734,0.320456440003257,0.4373499343633432,0.5252743437663924,0.524717442900007,0.15052026668775953,0.17947140705482525,0.28908102353248044,0.13980287448855885
Nekbone,0.0013621235482116866,0.5954287127579219,0.020414999877148083,0.1810763727529048,0.06348860709086658,0.0524463818355518,0.002137613135090131,0.25258452781345003,0.25774861996098003,0.2492981915972956,0.24982958137732464,0.14738924727561878,0.10526997654140154,0.13491878028192747,0.06393063026541576
Nek5000,1.4378359382975993e-07,0.6142039758726219,0.003420676975108965,0.1536350085481986,0.06315282102101319,0.0674559515754097,0.002670227075508573,0.2083569114220007,0.21441992201570964,0.2386009963488635,0.2401876766997243,0.152805628993161,0.08822028578943247,0.14477784687391265,0.062134021926524376
XSBench,2.560257753967049e-06,0.7893161192621452,0.06107814646616585,0.4126099098259767,8.488395669897836e-05,0.025430899964871908,0.0023035191458130088,0.07244366315121553,0.06304546121616035,0.05305508862264234,0.0543480825139546,0.03811743651503189,0.04858860539598416,0.0742342967720025,0.02611072307307437
openmc,4.55040438359986e-08,0.3428762020289963,0.14990003702163635,0.0024130909432276315,0.049084323326063585,0.06681184553638457,0.003116382358427082,0.2060404006316872,0.2103302426487606,0.3747302599621857,0.3798743883492059,0.3011357563518297,0.20065566649700825,0.4027214298191933,0.1963561259250866
picsarlite,2.2701188285572655e-05,0.5260486711100368,0.020440150131221312,0.10005641568163208,0.04661696538727581,0.058801465418824785,0.0027128853161380445,0.2773106397669078,0.2912749462391425,0.24801218224946095,0.24775729229008955,0.14894219778899875,0.2016911280189325,0.2233558769037049,0.0750535699162467
picsar,2.1570892209265594e-05,0.5430753553769307,0.0381296880044745,0.09224551432932483,0.0467441435663472,0.059990619030923925,0.0027740251300052863,0.27189764002492633,0.2888393829015327,0.2614610755719076,0.2613547387823174,0.1591836912058574,0.1757344541767615,0.18350134229748227,0.0790112133344629
amg2013,2.1500867739978887e-07,0.0977830483762636,0.0029512210992738647,0.008088808774839053,0.009267179443344369,0.1677791445969615,0.008524390426786894,0.2148135595040297,0.2362603028112078,0.3165050052924074,0.3205676114717092,0.21890956682492865,0.2402442409325961,0.4605632904805947,0.13994261895909732
Castro,2.5158040309178688e-12,0.3153090964588051,0.05185481698671877,0.06722477472779312,0.07450847310016266,0.0802068632008984,0.002950602109911873,0.3797890679276689,0.4041458963470294,0.37415678763056187,0.3781891509811436,0.2874594483996392,0.32448976576606753,0.30709031250139296,0.13092997564911096
Laghos,7.116373248540413e-06,0.3703270817303471,0.017396826898996482,0.0795949300059556,0.056547537441231074,0.06440487325807842,0.003255177776539356,0.341910067149378,0.3648754585418569,0.3221290046728371,0.32587723789469714,0.2053695696647844,0.19158204799808184,0.2645990041663159,0.1047283154863158
pennant,8.364410275977457e-08,0.4685878357376006,0.02514138420239387,0.09870538727498493,0.07654332066403959,0.05715897860910527,0.001878173315038884,0.3330823893102141,0.1747468018460095,0.3727224706081084,0.37408038256009213,0.1291040131426497,0.3051878330979007,0.23086654551001956,0.03505781060941765
snap,1.440681557810101e-10,0.2590077773907911,0.032851220242481965,0.015974586730268532,0.019958391485222438,0.045338416953326466,0.0017230590700449894,0.3472638759064762,0.35148749027433085,0.499170104261055,0.5049169693008058,0.2794535067694009,0.20440478599168904,0.3452818987592612,0.058610678151213125
hpcc_dgemm,0.0003701114401270252,0.2221576748813714,0.0053938308140844965,0.019381909258690645,0.002660324542235909,0.024559353598554236,0.002277780189487827,0.8072289051742965,0.08784468673767656,0.4575564053947002,0.4584669651442099,0.05466860317123712,0.8099766041939305,0.09866648823533944,0.036748508452484514
hpcc_random,5.308745140754106e-13,0.35454496088429244,0.013657520537414874,0.003391748695448041,0.03641452045807144,0.1471045339953884,0.005796298167417922,0.14155844237000711,0.1496742814206949,0.215868561788474,0.2204608877128208,0.27569154543526125,0.1467809488596952,0.2903055637059501,0.12146534484813527
hpcc_streams,0.004146307110571465,0.8271283633363989,2.0026003956036816e-06,0.16557538588452314,0.2869236540814567,0.06876492967827302,0.0018692416694563066,0.13859066731797692,0.12705202423990392,0.08467410444250137,0.08480943695904282,0.0912469346923357,0.030141434962787806,0.07144122837935066,0.02919685520332385
hpcg,9.611459803016015e-06,0.6692525110617137,0.00020252861563003515,0.0185167357871688,0.003926893069004588,0.017937177338495223,0.0016650474676676232,0.12830764792118146,0.12973210615653102,0.23930163701161,0.2364854374407493,0.05357130251620888,0.1371842643210003,0.17659886946768605,0.03607541059416842
