,L2_LINES_IN:ALL,L2_LINES_OUT:NON_SILENT,L2_LINES_OUT:SILENT,L2_LINES_OUT:USELESS_HWPREF,L2_RQSTS:ALL_DEMAND_DATA_RD,L2_RQSTS:ALL_DEMAND_MISS,L2_RQSTS:ALL_DEMAND_REFERENCES,L2_RQSTS:ALL_PF,L2_RQSTS:ALL_RFO,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,L2_RQSTS:MISS,L2_RQSTS:PF_HIT,L2_RQSTS:PF_MISS,L2_RQSTS:REFERENCES,L2_RQSTS:RFO_HIT,L2_RQSTS:RFO_MISS,L2_TRANS:L2_WB,MEM_LOAD_RETIRED:L2_HIT,MEM_LOAD_RETIRED:L2_MISS,MEM_LOAD_UOPS_RETIRED:L2_HIT
ExaMiniMD,6.182031310479541e-05,5.5994504350416736e-05,5.913955780398573e-06,9.928757170953672e-07,0.004345131910707465,8.862352280713404e-06,0.007416583440606816,0.004781832716312249,0.0028131448706416877,0.004344582754226289,4.445900887172142e-06,8.928479047063977e-05,0.004703245427413267,8.033913688858419e-05,0.012201971186057193,0.002802518915518625,4.284277598157672e-06,5.6012009963370656e-05,0.003898803581407553,3.422082880291732e-06,0.003903270684903007
LAMMPS,0.00015613228324915342,0.00013589392082757494,1.97273426677657e-05,3.138307774271091e-06,0.0026489061292365576,2.1214179733377812e-05,0.003520331866912256,0.00718226662540569,0.0007494332353223108,0.002636934335502794,1.1400103662172175e-05,0.00021085990772668912,0.007000878208949736,0.0001899271838672236,0.010706489495060591,0.0007406282930053335,9.382036853052527e-06,0.0001360847280542349,0.0021097723524750203,1.0333675775263043e-05,0.0021100984361260913
sw4lite,0.00795729730493772,0.006932666700347488,0.0003701696788622693,9.699966730962112e-05,0.012774338601145001,0.0015163619122578118,0.014163273694832381,0.025903790320527014,0.0013614823183394564,0.012293421000280118,0.0004711719490533707,0.01137783128717196,0.016072358590601597,0.009869733198990862,0.04013125295476392,0.0003335876725370899,0.0010288670999443073,0.006943543210202171,0.011656949814123,0.0004387018275224724,0.011666098579580795
sw4,0.0075902786736209045,0.006173219628338609,0.0003047876215673946,7.451282647265513e-05,0.01375550282303763,0.0019151506447043828,0.01555596528853129,0.020229005419891533,0.0017556256380919955,0.013312227297137862,0.0004439066684254118,0.010654530869980198,0.011515817216568056,0.008728161219373164,0.03580435801493905,0.00029888257784164263,0.001459635593409971,0.006180035762028884,0.012862675461525449,0.0004093143860286285,0.012892299616351709
SWFFT,0.007089600522006433,0.006947407608061264,0.00015498985197882288,6.48111415698331e-05,0.004596257927058228,0.004250265899721289,0.007784244118541267,0.008121624073335694,0.003127329128674339,0.0023706228637015844,0.002224496154380734,0.008674405776404739,0.003685018937721379,0.0044406119974226815,0.015930879834613616,0.0011133921048941924,0.0020163168759508216,0.0069620208347168176,0.0016422278972187752,0.0014318871211656864,0.0016434236317461337
HACC,0.004356801386160445,0.0041392774749944425,0.00019082163018659652,0.00014840372503183296,0.006251342304577172,0.0014699640053330832,0.008408249354998927,0.015604332799035546,0.0020612324123340125,0.005639319210920943,0.0006095088349077117,0.00558626802524246,0.011487989860785796,0.004122915861868175,0.02394674505776393,0.0012040207273963824,0.0008562546128084248,0.00415978338897769,0.004995103628414471,0.0006680733124026941,0.004997940711245344
MiniQMC,0.024165072616016633,0.023943827561855133,0.000451234043955858,0.0001421753776835434,0.02478596628834644,0.009150059450786759,0.026439715349696347,0.029956442024987137,0.0014953975968440393,0.01606624213569182,0.008680242414212166,0.03279798848028172,0.006388273707454572,0.02364567725863847,0.05646463263122657,0.001105323561971071,0.0003861907479332957,0.023979206264119403,0.004868078315267243,0.0015316816489345962,0.004882835070554261
QMCPack,0.044249707437598436,0.04370865848147139,0.0005217336116609321,0.000254941703918477,0.045158806896405564,0.01857228398001073,0.04770546655481226,0.05499092048054259,0.002226788470586165,0.027063752009724943,0.018007994488372186,0.06255940357825984,0.01117386673336382,0.04402886921281393,0.10271852562585032,0.001916595059839523,0.00031085867763087823,0.04368268227564645,0.020964359870510464,0.021785609543973527,0.020956285673242155
miniVite,0.0034207275284207305,0.003126489513226325,0.0002574907910331961,5.553557998895965e-05,0.004768135523748614,0.002850542587214796,0.004993775106693307,0.000734343761119304,0.000184090178839682,0.002068485544206269,0.0027054217155751442,0.003475669889645969,0.00011835389769629329,0.0006155349081216898,0.005719191952337116,5.094081653217503e-05,0.00013284341231463372,0.0031328345945014968,0.0008534136075294022,0.00179988144285542,0.0008539441085605887
vite,0.02827107846331619,0.026571649867682717,0.0017085438685083244,8.370550582279638e-05,0.0022487991975040232,0.0002335744365228627,0.0022659886274334685,0.0655541964501154,4.0432345646469715e-06,0.002026991251267967,0.00022406748880588457,0.04304915520026648,0.02277300312496241,0.04252350437426368,0.06786213416090134,1.4983871063347596e-06,2.5387837310071643e-06,0.026600531355286918,0.0019882444285848405,0.0002472634092225474,0.0019933073959223615
Nekbone,0.01876488174001089,0.01760414165830256,0.001131944658096418,0.00038621994102217683,0.004933430108402156,0.002299320490247002,0.008690533374569456,0.038620846024160126,0.003755917592096821,0.0030890568194439252,0.0018429030865536372,0.02841926666454944,0.012480509349773152,0.026133849301728924,0.04729794129423885,0.003310089077894612,0.0004476426181019218,0.017633624652704488,0.002795650986243028,0.0025758834982231933,0.00279985046240096
Nek5000,0.019442392014869376,0.01771906759681341,0.001255088983748564,0.0002595021524930792,0.006962587436010985,0.003367013662665288,0.010567228565478436,0.036151994968751176,0.003570081690831104,0.0046673903817412545,0.0022965928128989557,0.029636309770534424,0.009808503267603205,0.02616834573485224,0.04660171269850706,0.002526737149921832,0.0010404022430667269,0.017702033986428504,0.0043561702510327375,0.0034403666772371256,0.004352166803867794
XSBench,0.009459230433361105,0.00883892154070055,0.0012186652043916222,0.00030397058215606243,0.010209736310271859,0.00805717979978393,0.010222850850863316,0.0018684519463069609,1.4706235090011856e-05,0.002145738038591425,0.008066850804150805,0.009540338792048358,0.00040939153037491277,0.0014591961209587914,0.01211999019271288,1.2936473627592747e-05,1.7657727855632663e-06,0.008855488399155753,0.0006913979195087299,0.004325328103610607,0.0006918741777942516
