,CORE_POWER.LVL0_TURBO_LICENSE,CORE_POWER.LVL1_TURBO_LICENSE,CORE_POWER.LVL2_TURBO_LICENSE,CORE_POWER.THROTTLE,CPU_CLK_THREAD_UNHALTED:REF_XCLK
ExaMiniMD,0.03148628036009112,0.9638305297843484,9.740976550594873e-06,1.9117837136492327e-06,0.00938671036815718
LAMMPS,0.08046344610543303,0.9141283780712812,8.117716808843637e-06,3.029017728870196e-06,0.009319075454967574
sw4lite,0.9986384497022084,0.00018120287163384961,0.0,7.185858000313969e-05,0.00838118223306461
sw4,0.9986871382707933,0.00014596757746911823,0.0,6.27668259689771e-05,0.008389944134042029
SWFFT,0.9988079961638516,1.3525673056089716e-06,0.0,9.94374565934458e-09,0.008167209026299459
HACC,0.5310714478567415,0.0636615621099286,0.3946171965222548,2.838061012371519e-05,0.00975410479632292
MiniQMC,0.033711814682050485,0.007964537037238387,0.9583968467703036,0.00014492789431496889,0.010193477266494508
QMCPack,0.047989237977599235,0.005316513783120558,0.942678593945379,3.39883907896473e-05,0.00946642724839986
miniVite,0.9987746811410736,1.625836462809297e-05,0.0,5.9209156099181265e-05,0.008133711599448586
vite,1.000155530194106,1.5779242863133825e-05,0.0,6.340807332130276e-07,0.00923450755767081
Nekbone,0.9985506214879152,0.0001071273290442354,0.0,4.063201598030249e-05,0.008366257943752273
Nek5000,0.9957907756935718,0.00282553887698555,0.00035865614222347015,0.00020915718239825776,0.008322129690963265
XSBench,0.9953367306325142,0.0,0.0,1.722484982299079e-09,0.008191394590786338
openmc,1.0000835638091479,1.0110432610293908e-08,0.0,2.663661641673681e-07,0.008258529765485056
picsarlite,0.9996011413201712,7.150209083663363e-05,3.4575769473233157e-09,0.00013636900494024524,0.008309671974556405
picsar,0.9967159331783166,6.305647358403764e-05,7.768816958720605e-09,0.00014461218373816812,0.008284952436429287
amg2013,0.9965071088027582,3.911575377854299e-06,0.0,2.43629601328398e-06,0.008224245068392321
Castro,0.9982340747842624,2.916573467215307e-06,0.0,7.25185585037194e-06,0.00849885610872754
Laghos,0.996136443509034,7.691690319350982e-05,0.0,0.0003733819699550192,0.008244868045839491
pennant,0.17399458696263942,0.003862448533621771,0.8117562786965722,0.00010881284180377958,0.011161157936811529
snap,0.03694694324269788,0.959862331979154,7.810645514512155e-07,0.00026079434716240295,0.009450037305225631
hpcc_dgemm,0.13982646014375408,1.6015183795162407e-05,0.8529814206908032,1.3169201095712062e-05,0.01208393391880135
hpcc_random,0.9963577981524699,1.4368613112394005e-08,0.0,8.436000639974221e-05,0.008186431016726444
hpcc_streams,0.9993058836396502,1.6249567998549453e-06,0.0,1.9910926869827045e-05,0.008207634224367327
hpcg,1.0013060395526452,1.638532298711972e-07,0.0,5.3427420702822975e-06,0.008213418586073756
